iec_path,fc,cdc,modbus_type,modbus_address,modbus_device_id,enabled,description
IED_E01BCU/CTRL/ARGAPC1.SPCSO.Oper.ctlVal,CO,SPC,coil,1,1,1,SPC command
IED_E01BCU/CTRL/ARGAPC1.SPCSO.stVal,ST,SPC,discrete_input,2,1,1,SPC indicator
IED_E01BCU/CTRL/CALH1.ErrBoard1.stVal,ST,SPS,discrete_input,3,1,1,SPS indicator
IED_E01BCU/CTRL/CALH1.ErrBoard2.stVal,ST,SPS,discrete_input,4,1,1,SPS indicator
IED_E01BCU/CTRL/CALH1.ErrBoard3.stVal,ST,SPS,discrete_input,5,1,1,SPS indicator
IED_E01BCU/CTRL/CALH1.ErrBoard4.stVal,ST,SPS,discrete_input,6,1,1,SPS indicator
IED_E01BCU/CTRL/CALH1.ErrBoard5.stVal,ST,SPS,discrete_input,7,1,1,SPS indicator
IED_E01BCU/CTRL/CALH1.ErrBoard6.stVal,ST,SPS,discrete_input,8,1,1,SPS indicator
IED_E01BCU/CTRL/CALH1.ErrBoard7.stVal,ST,SPS,discrete_input,9,1,1,SPS indicator
IED_E01BCU/CTRL/CALH1.GrAlm.stVal,ST,SPS,discrete_input,10,1,1,SPS indicator
IED_E01BCU/CTRL/CALH1.GrWrn.stVal,ST,SPS,discrete_input,11,1,1,SPS indicator
IED_E01BCU/CTRL/E01Q01CILO1.EnaCls.stVal,ST,SPS,discrete_input,12,1,1,SPS indicator
IED_E01BCU/CTRL/E01Q01CILO1.EnaOpn.stVal,ST,SPS,discrete_input,13,1,1,SPS indicator
IED_E01BCU/CTRL/E01Q01CSWI1.Loc.stVal,ST,SPS,discrete_input,14,1,1,SPS indicator
IED_E01BCU/CTRL/E01Q01CSWI1.Pos.Oper.ctlVal.bit0,CO,DPC,coil,15,1,1,DPC command bit0
IED_E01BCU/CTRL/E01Q01CSWI1.Pos.Oper.ctlVal.bit1,CO,DPC,coil,16,1,1,DPC command bit1
IED_E01BCU/CTRL/E01Q01CSWI1.Pos.stVal.bit0,ST,DPC,discrete_input,17,1,1,DPC indicator bit0
IED_E01BCU/CTRL/E01Q01CSWI1.Pos.stVal.bit1,ST,DPC,discrete_input,18,1,1,DPC indicator bit1
IED_E01BCU/CTRL/E01Q01XCBR1.BlkCls.Oper.ctlVal,CO,SPC,coil,19,1,1,SPC command
IED_E01BCU/CTRL/E01Q01XCBR1.BlkCls.stVal,ST,SPC,discrete_input,20,1,1,SPC indicator
IED_E01BCU/CTRL/E01Q01XCBR1.BlkOpn.Oper.ctlVal,CO,SPC,coil,21,1,1,SPC command
IED_E01BCU/CTRL/E01Q01XCBR1.BlkOpn.stVal,ST,SPC,discrete_input,22,1,1,SPC indicator
IED_E01BCU/CTRL/E01Q01XCBR1.Loc.stVal,ST,SPS,discrete_input,23,1,1,SPS indicator
IED_E01BCU/CTRL/E01Q01XCBR1.Pos.Oper.ctlVal.bit0,CO,DPC,coil,24,1,1,DPC command bit0
IED_E01BCU/CTRL/E01Q01XCBR1.Pos.Oper.ctlVal.bit1,CO,DPC,coil,25,1,1,DPC command bit1
IED_E01BCU/CTRL/E01Q01XCBR1.Pos.stVal.bit0,ST,DPC,discrete_input,26,1,1,DPC indicator bit0
IED_E01BCU/CTRL/E01Q01XCBR1.Pos.stVal.bit1,ST,DPC,discrete_input,27,1,1,DPC indicator bit1
IED_E01BCU/CTRL/E01Q08CILO1.EnaCls.stVal,ST,SPS,discrete_input,28,1,1,SPS indicator
IED_E01BCU/CTRL/E01Q08CILO1.EnaOpn.stVal,ST,SPS,discrete_input,29,1,1,SPS indicator
IED_E01BCU/CTRL/E01Q08CSWI1.Loc.stVal,ST,SPS,discrete_input,30,1,1,SPS indicator
IED_E01BCU/CTRL/E01Q08CSWI1.Pos.Oper.ctlVal.bit0,CO,DPC,coil,31,1,1,DPC command bit0
IED_E01BCU/CTRL/E01Q08CSWI1.Pos.Oper.ctlVal.bit1,CO,DPC,coil,32,1,1,DPC command bit1
IED_E01BCU/CTRL/E01Q08CSWI1.Pos.stVal.bit0,ST,DPC,discrete_input,33,1,1,DPC indicator bit0
IED_E01BCU/CTRL/E01Q08CSWI1.Pos.stVal.bit1,ST,DPC,discrete_input,34,1,1,DPC indicator bit1
IED_E01BCU/CTRL/E01Q08XSWI1.BlkCls.Oper.ctlVal,CO,SPC,coil,35,1,1,SPC command
IED_E01BCU/CTRL/E01Q08XSWI1.BlkCls.stVal,ST,SPC,discrete_input,36,1,1,SPC indicator
IED_E01BCU/CTRL/E01Q08XSWI1.BlkOpn.Oper.ctlVal,CO,SPC,coil,37,1,1,SPC command
IED_E01BCU/CTRL/E01Q08XSWI1.BlkOpn.stVal,ST,SPC,discrete_input,38,1,1,SPC indicator
IED_E01BCU/CTRL/E01Q08XSWI1.Loc.stVal,ST,SPS,discrete_input,39,1,1,SPS indicator
IED_E01BCU/CTRL/E01Q08XSWI1.Pos.Oper.ctlVal.bit0,CO,DPC,coil,40,1,1,DPC command bit0
IED_E01BCU/CTRL/E01Q08XSWI1.Pos.Oper.ctlVal.bit1,CO,DPC,coil,41,1,1,DPC command bit1
IED_E01BCU/CTRL/E01Q08XSWI1.Pos.stVal.bit0,ST,DPC,discrete_input,42,1,1,DPC indicator bit0
IED_E01BCU/CTRL/E01Q08XSWI1.Pos.stVal.bit1,ST,DPC,discrete_input,43,1,1,DPC indicator bit1
IED_E01BCU/CTRL/E01Q91CILO1.EnaCls.stVal,ST,SPS,discrete_input,44,1,1,SPS indicator
IED_E01BCU/CTRL/E01Q91CILO1.EnaOpn.stVal,ST,SPS,discrete_input,45,1,1,SPS indicator
IED_E01BCU/CTRL/E01Q91CSWI1.Loc.stVal,ST,SPS,discrete_input,46,1,1,SPS indicator
IED_E01BCU/CTRL/E01Q91CSWI1.Pos.Oper.ctlVal.bit0,CO,DPC,coil,47,1,1,DPC command bit0
IED_E01BCU/CTRL/E01Q91CSWI1.Pos.Oper.ctlVal.bit1,CO,DPC,coil,48,1,1,DPC command bit1
IED_E01BCU/CTRL/E01Q91CSWI1.Pos.stVal.bit0,ST,DPC,discrete_input,49,1,1,DPC indicator bit0
IED_E01BCU/CTRL/E01Q91CSWI1.Pos.stVal.bit1,ST,DPC,discrete_input,50,1,1,DPC indicator bit1
IED_E01BCU/CTRL/E01Q91XSWI1.BlkCls.Oper.ctlVal,CO,SPC,coil,51,1,1,SPC command
IED_E01BCU/CTRL/E01Q91XSWI1.BlkCls.stVal,ST,SPC,discrete_input,52,1,1,SPC indicator
IED_E01BCU/CTRL/E01Q91XSWI1.BlkOpn.Oper.ctlVal,CO,SPC,coil,53,1,1,SPC command
IED_E01BCU/CTRL/E01Q91XSWI1.BlkOpn.stVal,ST,SPC,discrete_input,54,1,1,SPC indicator
IED_E01BCU/CTRL/E01Q91XSWI1.Loc.stVal,ST,SPS,discrete_input,55,1,1,SPS indicator
IED_E01BCU/CTRL/E01Q91XSWI1.Pos.Oper.ctlVal.bit0,CO,DPC,coil,56,1,1,DPC command bit0
IED_E01BCU/CTRL/E01Q91XSWI1.Pos.Oper.ctlVal.bit1,CO,DPC,coil,57,1,1,DPC command bit1
IED_E01BCU/CTRL/E01Q91XSWI1.Pos.stVal.bit0,ST,DPC,discrete_input,58,1,1,DPC indicator bit0
IED_E01BCU/CTRL/E01Q91XSWI1.Pos.stVal.bit1,ST,DPC,discrete_input,59,1,1,DPC indicator bit1
IED_E01BCU/CTRL/E01Q92CILO1.EnaCls.stVal,ST,SPS,discrete_input,60,1,1,SPS indicator
IED_E01BCU/CTRL/E01Q92CILO1.EnaOpn.stVal,ST,SPS,discrete_input,61,1,1,SPS indicator
IED_E01BCU/CTRL/E01Q92CSWI1.Loc.stVal,ST,SPS,discrete_input,62,1,1,SPS indicator
IED_E01BCU/CTRL/E01Q92CSWI1.Pos.Oper.ctlVal.bit0,CO,DPC,coil,63,1,1,DPC command bit0
IED_E01BCU/CTRL/E01Q92CSWI1.Pos.Oper.ctlVal.bit1,CO,DPC,coil,64,1,1,DPC command bit1
IED_E01BCU/CTRL/E01Q92CSWI1.Pos.stVal.bit0,ST,DPC,discrete_input,65,1,1,DPC indicator bit0
IED_E01BCU/CTRL/E01Q92CSWI1.Pos.stVal.bit1,ST,DPC,discrete_input,66,1,1,DPC indicator bit1
IED_E01BCU/CTRL/E01Q92XSWI1.BlkCls.Oper.ctlVal,CO,SPC,coil,67,1,1,SPC command
IED_E01BCU/CTRL/E01Q92XSWI1.BlkCls.stVal,ST,SPC,discrete_input,68,1,1,SPC indicator
IED_E01BCU/CTRL/E01Q92XSWI1.BlkOpn.Oper.ctlVal,CO,SPC,coil,69,1,1,SPC command
IED_E01BCU/CTRL/E01Q92XSWI1.BlkOpn.stVal,ST,SPC,discrete_input,70,1,1,SPC indicator
IED_E01BCU/CTRL/E01Q92XSWI1.Loc.stVal,ST,SPS,discrete_input,71,1,1,SPS indicator
IED_E01BCU/CTRL/E01Q92XSWI1.Pos.Oper.ctlVal.bit0,CO,DPC,coil,72,1,1,DPC command bit0
IED_E01BCU/CTRL/E01Q92XSWI1.Pos.Oper.ctlVal.bit1,CO,DPC,coil,73,1,1,DPC command bit1
IED_E01BCU/CTRL/E01Q92XSWI1.Pos.stVal.bit0,ST,DPC,discrete_input,74,1,1,DPC indicator bit0
IED_E01BCU/CTRL/E01Q92XSWI1.Pos.stVal.bit1,ST,DPC,discrete_input,75,1,1,DPC indicator bit1
IED_E01BCU/CTRL/E05Q93CILO1.EnaCls.stVal,ST,SPS,discrete_input,76,1,1,SPS indicator
IED_E01BCU/CTRL/E05Q93CILO1.EnaOpn.stVal,ST,SPS,discrete_input,77,1,1,SPS indicator
IED_E01BCU/CTRL/E05Q93CSWI1.Loc.stVal,ST,SPS,discrete_input,78,1,1,SPS indicator
IED_E01BCU/CTRL/E05Q93CSWI1.Pos.Oper.ctlVal.bit0,CO,DPC,coil,79,1,1,DPC command bit0
IED_E01BCU/CTRL/E05Q93CSWI1.Pos.Oper.ctlVal.bit1,CO,DPC,coil,80,1,1,DPC command bit1
IED_E01BCU/CTRL/E05Q93CSWI1.Pos.stVal.bit0,ST,DPC,discrete_input,81,1,1,DPC indicator bit0
IED_E01BCU/CTRL/E05Q93CSWI1.Pos.stVal.bit1,ST,DPC,discrete_input,82,1,1,DPC indicator bit1
IED_E01BCU/CTRL/E05Q93XSWI1.BlkCls.Oper.ctlVal,CO,SPC,coil,83,1,1,SPC command
IED_E01BCU/CTRL/E05Q93XSWI1.BlkCls.stVal,ST,SPC,discrete_input,84,1,1,SPC indicator
IED_E01BCU/CTRL/E05Q93XSWI1.BlkOpn.Oper.ctlVal,CO,SPC,coil,85,1,1,SPC command
IED_E01BCU/CTRL/E05Q93XSWI1.BlkOpn.stVal,ST,SPC,discrete_input,86,1,1,SPC indicator
IED_E01BCU/CTRL/E05Q93XSWI1.Loc.stVal,ST,SPS,discrete_input,87,1,1,SPS indicator
IED_E01BCU/CTRL/E05Q93XSWI1.Pos.Oper.ctlVal.bit0,CO,DPC,coil,88,1,1,DPC command bit0
IED_E01BCU/CTRL/E05Q93XSWI1.Pos.Oper.ctlVal.bit1,CO,DPC,coil,89,1,1,DPC command bit1
IED_E01BCU/CTRL/E05Q93XSWI1.Pos.stVal.bit0,ST,DPC,discrete_input,90,1,1,DPC indicator bit0
IED_E01BCU/CTRL/E05Q93XSWI1.Pos.stVal.bit1,ST,DPC,discrete_input,91,1,1,DPC indicator bit1
IED_E01BCU/CTRL/GGIO1.SPCSO3.Oper.ctlVal,CO,SPC,coil,92,1,1,SPC command
IED_E01BCU/CTRL/GGIO1.SPCSO3.stVal,ST,SPC,discrete_input,93,1,1,SPC indicator
IED_E01BCU/CTRL/GGIO1.SPCSO4.Oper.ctlVal,CO,SPC,coil,94,1,1,SPC command
IED_E01BCU/CTRL/GGIO1.SPCSO4.stVal,ST,SPC,discrete_input,95,1,1,SPC indicator
IED_E01BCU/CTRL/GGIO1.SPCSO5.Oper.ctlVal,CO,SPC,coil,96,1,1,SPC command
IED_E01BCU/CTRL/GGIO1.SPCSO5.stVal,ST,SPC,discrete_input,97,1,1,SPC indicator
IED_E01BCU/CTRL/GGIO1.SPCSO8.Oper.ctlVal,CO,SPC,coil,98,1,1,SPC command
IED_E01BCU/CTRL/GGIO1.SPCSO8.stVal,ST,SPC,discrete_input,99,1,1,SPC indicator
IED_E01BCU/CTRL/GGIO1.SPCSO9.Oper.ctlVal,CO,SPC,coil,100,1,1,SPC command
IED_E01BCU/CTRL/GGIO1.SPCSO9.stVal,ST,SPC,discrete_input,101,1,1,SPC indicator
IED_E01BCU/CTRL/GGIO1.SPCSO10.Oper.ctlVal,CO,SPC,coil,102,1,1,SPC command
IED_E01BCU/CTRL/GGIO1.SPCSO10.stVal,ST,SPC,discrete_input,103,1,1,SPC indicator
IED_E01BCU/CTRL/GGIO1.SPCSO11.Oper.ctlVal,CO,SPC,coil,104,1,1,SPC command
IED_E01BCU/CTRL/GGIO1.SPCSO11.stVal,ST,SPC,discrete_input,105,1,1,SPC indicator
IED_E01BCU/CTRL/GGIO1.SPCSO14.Oper.ctlVal,CO,SPC,coil,106,1,1,SPC command
IED_E01BCU/CTRL/GGIO1.SPCSO14.stVal,ST,SPC,discrete_input,107,1,1,SPC indicator
IED_E01BCU/CTRL/GGIO1.SPCSO17.Oper.ctlVal,CO,SPC,coil,108,1,1,SPC command
IED_E01BCU/CTRL/GGIO1.SPCSO17.stVal,ST,SPC,discrete_input,109,1,1,SPC indicator
IED_E01BCU/CTRL/GGIO1.SPCSO18.Oper.ctlVal,CO,SPC,coil,110,1,1,SPC command
IED_E01BCU/CTRL/GGIO1.SPCSO18.stVal,ST,SPC,discrete_input,111,1,1,SPC indicator
IED_E01BCU/CTRL/GGIO1.SPCSO22.Oper.ctlVal,CO,SPC,coil,112,1,1,SPC command
IED_E01BCU/CTRL/GGIO1.SPCSO22.stVal,ST,SPC,discrete_input,113,1,1,SPC indicator
IED_E01BCU/CTRL/GGIO1.SPCSO29.Oper.ctlVal,CO,SPC,coil,114,1,1,SPC command
IED_E01BCU/CTRL/GGIO1.SPCSO29.stVal,ST,SPC,discrete_input,115,1,1,SPC indicator
IED_E01BCU/CTRL/GGIO1.SPCSO30.Oper.ctlVal,CO,SPC,coil,116,1,1,SPC command
IED_E01BCU/CTRL/GGIO1.SPCSO30.stVal,ST,SPC,discrete_input,117,1,1,SPC indicator
IED_E01BCU/CTRL/GGIO1.SPCSO45.Oper.ctlVal,CO,SPC,coil,118,1,1,SPC command
IED_E01BCU/CTRL/GGIO1.SPCSO45.stVal,ST,SPC,discrete_input,119,1,1,SPC indicator
IED_E01BCU/CTRL/GGIO1.SPCSO46.Oper.ctlVal,CO,SPC,coil,120,1,1,SPC command
IED_E01BCU/CTRL/GGIO1.SPCSO46.stVal,ST,SPC,discrete_input,121,1,1,SPC indicator
IED_E01BCU/CTRL/GGIO1.SPCSO47.Oper.ctlVal,CO,SPC,coil,122,1,1,SPC command
IED_E01BCU/CTRL/GGIO1.SPCSO47.stVal,ST,SPC,discrete_input,123,1,1,SPC indicator
IED_E01BCU/CTRL/GGIO1.SPCSO48.Oper.ctlVal,CO,SPC,coil,124,1,1,SPC command
IED_E01BCU/CTRL/GGIO1.SPCSO48.stVal,ST,SPC,discrete_input,125,1,1,SPC indicator
IED_E01BCU/CTRL/GGIO1.SPCSO49.Oper.ctlVal,CO,SPC,coil,126,1,1,SPC command
IED_E01BCU/CTRL/GGIO1.SPCSO49.stVal,ST,SPC,discrete_input,127,1,1,SPC indicator
IED_E01BCU/CTRL/GGIO1.SPCSO50.Oper.ctlVal,CO,SPC,coil,128,1,1,SPC command
IED_E01BCU/CTRL/GGIO1.SPCSO50.stVal,ST,SPC,discrete_input,129,1,1,SPC indicator
IED_E01BCU/CTRL/GGIO1.SPCSO51.Oper.ctlVal,CO,SPC,coil,130,1,1,SPC command
IED_E01BCU/CTRL/GGIO1.SPCSO51.stVal,ST,SPC,discrete_input,131,1,1,SPC indicator
IED_E01BCU/CTRL/GGIO1.SPCSO52.Oper.ctlVal,CO,SPC,coil,132,1,1,SPC command
IED_E01BCU/CTRL/GGIO1.SPCSO52.stVal,ST,SPC,discrete_input,133,1,1,SPC indicator
IED_E01BCU/CTRL/GGIO1.SPCSO55.Oper.ctlVal,CO,SPC,coil,134,1,1,SPC command
IED_E01BCU/CTRL/GGIO1.SPCSO55.stVal,ST,SPC,discrete_input,135,1,1,SPC indicator
IED_E01BCU/CTRL/GGIO2.SPCSO1.Oper.ctlVal,CO,SPC,coil,136,1,1,SPC command
IED_E01BCU/CTRL/GGIO2.SPCSO1.stVal,ST,SPC,discrete_input,137,1,1,SPC indicator
